gene_index	gene_id	gene_symbol
10863	ENSG00000231989	PPP1R2B
10864	ENSG00000145850	TIMD4
10865	ENSG00000113249	HAVCR1
10866	ENSG00000135077	HAVCR2
10867	ENSG00000254246	AC011377.1
10868	ENSG00000155868	MED7
10869	ENSG00000113263	ITK
10870	ENSG00000170613	FAM71B
10871	ENSG00000253980	AC010609.1
10872	ENSG00000253653	AC009185.1
10873	ENSG00000055163	CYFIP2
10874	ENSG00000172568	FNDC9
10875	ENSG00000251405	AC016571.1
10876	ENSG00000248544	AC008676.1
10877	ENSG00000135074	ADAM19
10878	ENSG00000172548	NIPAL4
10879	ENSG00000253519	AC106801.1
10880	ENSG00000039600	SOX30
10881	ENSG00000187658	C5orf52
10882	ENSG00000113272	THG1L
10883	ENSG00000155858	LSM11
10884	ENSG00000113282	CLINT1
10885	ENSG00000253792	AC025437.5
10886	ENSG00000253673	AC025437.4
10887	ENSG00000253449	AC025437.3
10888	ENSG00000253424	AC025437.2
10889	ENSG00000253134	AC025437.1
10890	ENSG00000276778	LINC02227
10891	ENSG00000254350	AC091979.1
10892	ENSG00000272085	AC091979.2
10893	ENSG00000254135	AC091939.1
10894	ENSG00000164330	EBF1
10895	ENSG00000253811	AC136424.2
10896	ENSG00000253456	AC136424.1
10897	ENSG00000245812	LINC02202
10898	ENSG00000145860	RNF145
10899	ENSG00000253256	AC134043.2
10900	ENSG00000253315	LINC01932
10901	ENSG00000164332	UBLCP1
10902	ENSG00000249738	AC008691.1
10903	ENSG00000113302	IL12B
10904	ENSG00000253298	LINC01845
10905	ENSG00000283413	AC008703.1
10906	ENSG00000253311	LINC01847
10907	ENSG00000170214	ADRA1B
10908	ENSG00000113312	TTC1
10909	ENSG00000170234	PWWP2A
10910	ENSG00000170231	FABP6
10911	ENSG00000247699	AC008609.1
10912	ENSG00000135083	CCNJL
10913	ENSG00000145861	C1QTNF2
10914	ENSG00000221886	ZBED8
10915	ENSG00000164609	SLU7
10916	ENSG00000164611	PTTG1
10917	ENSG00000253522	MIR3142HG
10918	ENSG00000118322	ATP10B
10919	ENSG00000253687	AC008456.1
10920	ENSG00000254391	AC011363.1
10921	ENSG00000253417	LINC02159
10922	ENSG00000145864	GABRB2
10923	ENSG00000145863	GABRA6
10924	ENSG00000253403	AC091944.1
10925	ENSG00000022355	GABRA1
10926	ENSG00000280776	LINC01202
10927	ENSG00000113327	GABRG2
10928	ENSG00000254186	AC113414.1
10929	ENSG00000113328	CCNG1
10930	ENSG00000170584	NUDCD2
10931	ENSG00000072571	HMMR
10932	ENSG00000251018	HMMR-AS1
10933	ENSG00000038274	MAT2B
10934	ENSG00000285590	AC010291.1
10935	ENSG00000253331	AC008662.1
10936	ENSG00000253538	AC008662.2
10937	ENSG00000241956	AC109466.1
10938	ENSG00000253236	LINC02143
10939	ENSG00000285549	AC091973.1
10940	ENSG00000254066	LINC01938
10941	ENSG00000253693	AC008415.1
10942	ENSG00000254171	AC114321.1
10943	ENSG00000254130	LINC01947
10944	ENSG00000253713	AC091819.2
10945	ENSG00000253469	AC091819.1
10946	ENSG00000145934	TENM2
10947	ENSG00000254365	AC091820.2
10948	ENSG00000254297	AC091820.1
10949	ENSG00000253527	AC008601.1
10950	ENSG00000254187	AC008708.2
10951	ENSG00000253357	AC008708.1
10952	ENSG00000253660	AC008464.1
10953	ENSG00000253947	AC008705.2
10954	ENSG00000253925	AC011369.1
10955	ENSG00000253978	AC026689.1
10956	ENSG00000113645	WWC1
10957	ENSG00000113643	RARS
10958	ENSG00000188573	FBLL1
10959	ENSG00000120137	PANK3
10960	ENSG00000254192	AC011365.2
10961	ENSG00000184347	SLIT3
10962	ENSG00000254042	AC011365.1
10963	ENSG00000248965	AC011389.2
10964	ENSG00000248222	AC011389.1
10965	ENSG00000040275	SPDL1
10966	ENSG00000134516	DOCK2
10967	ENSG00000253269	AC008680.1
10968	ENSG00000204767	INSYN2B
10969	ENSG00000168269	FOXI1
10970	ENSG00000249601	LINC01187
10971	ENSG00000234511	C5orf58
10972	ENSG00000043462	LCP2
10973	ENSG00000235172	LINC01366
10974	ENSG00000250274	AC034199.1
10975	ENSG00000182132	KCNIP1
10976	ENSG00000145936	KCNMB1
10977	ENSG00000253647	AC027306.1
10978	ENSG00000253858	AC008619.1
10979	ENSG00000253591	AC027312.1
10980	ENSG00000253348	AC008514.1
10981	ENSG00000094755	GABRP
10982	ENSG00000204764	RANBP17
10983	ENSG00000275038	AC091980.2
10984	ENSG00000164438	TLX3
10985	ENSG00000181163	NPM1
10986	ENSG00000156427	FGF18
10987	ENSG00000285914	AC022440.1
10988	ENSG00000253110	AC011410.1
10989	ENSG00000185662	SMIM23
10990	ENSG00000072803	FBXW11
10991	ENSG00000072786	STK10
10992	ENSG00000214360	EFCAB9
10993	ENSG00000168246	UBTD2
10994	ENSG00000174705	SH3PXD2B
10995	ENSG00000287814	AC011407.1
10996	ENSG00000254299	LINC01944
10997	ENSG00000214357	NEURL1B
10998	ENSG00000253445	AC027309.1
10999	ENSG00000253295	AC022217.2
11000	ENSG00000253736	AC022217.3
11001	ENSG00000120129	DUSP1
11002	ENSG00000253628	AC110011.1
11003	ENSG00000113719	ERGIC1
11004	ENSG00000204758	AC008429.1
11005	ENSG00000254295	AC008429.3
11006	ENSG00000037241	RPL26L1
11007	ENSG00000113732	ATP6V0E1
11008	ENSG00000164463	CREBRF
11009	ENSG00000253172	AC008378.1
11010	ENSG00000113734	BNIP1
11011	ENSG00000183072	NKX2-5
11012	ENSG00000113739	STC2
11013	ENSG00000253968	AC016573.1
11014	ENSG00000253141	AC008632.1
11015	ENSG00000253768	AC008663.1
11016	ENSG00000254164	AC008663.3
11017	ENSG00000253955	AC008663.2
11018	ENSG00000145919	BOD1
11019	ENSG00000253959	LINC01863
11020	ENSG00000253428	LINC01942
11021	ENSG00000253686	LINC01484
11022	ENSG00000287003	AC008674.1
11023	ENSG00000254211	LINC01485
11024	ENSG00000113742	CPEB4
11025	ENSG00000185056	C5orf47
11026	ENSG00000170091	NSG2
11027	ENSG00000253244	AC113423.1
11028	ENSG00000253447	AC113423.2
11029	ENSG00000254011	AC011333.1
11030	ENSG00000249722	AC025752.1
11031	ENSG00000249306	LINC01411
11032	ENSG00000250256	AC108112.1
11033	ENSG00000120149	MSX2
11034	ENSG00000251670	AC113346.2
11035	ENSG00000251144	AC113346.1
11036	ENSG00000204754	LINC01951
11037	ENSG00000249403	AC008413.2
11038	ENSG00000184845	DRD1
11039	ENSG00000286350	AC091393.2
11040	ENSG00000164466	SFXN1
11041	ENSG00000113749	HRH2
11042	ENSG00000145920	CPLX2
11043	ENSG00000250820	AC138965.2
11044	ENSG00000051596	THOC3
11045	ENSG00000250801	AC138965.1
11046	ENSG00000250992	AC139491.3
11047	ENSG00000248469	AC139491.1
11048	ENSG00000182230	FAM153B
11049	ENSG00000251458	AC139491.4
11050	ENSG00000287579	AC139491.8
11051	ENSG00000283235	AC139493.2
11052	ENSG00000170085	SIMC1
11053	ENSG00000122203	KIAA1191
11054	ENSG00000250909	AC138956.1
11055	ENSG00000251414	AC138956.2
11056	ENSG00000175414	ARL10
11057	ENSG00000048162	NOP16
11058	ENSG00000146066	HIGD2A
11059	ENSG00000175416	CLTB
11060	ENSG00000113194	FAF2
11061	ENSG00000146083	RNF44
11062	ENSG00000074276	CDHR2
11063	ENSG00000169258	GPRIN1
11064	ENSG00000074317	SNCB
11065	ENSG00000175766	EIF4E1B
11066	ENSG00000048140	TSPAN17
11067	ENSG00000248484	AC113391.1
11068	ENSG00000251446	AC113391.2
11069	ENSG00000248859	LINC01574
11070	ENSG00000113763	UNC5A
11071	ENSG00000160883	HK3
11072	ENSG00000087206	UIMC1
11073	ENSG00000113761	ZNF346
11074	ENSG00000251666	ZNF346-IT1
11075	ENSG00000160867	FGFR4
11076	ENSG00000165671	NSD1
11077	ENSG00000286634	AC146507.3
11078	ENSG00000169228	RAB24
11079	ENSG00000213347	MXD3
11080	ENSG00000169230	PRELID1
11081	ENSG00000169223	LMAN2
11082	ENSG00000169220	RGS14
11083	ENSG00000131183	SLC34A1
11084	ENSG00000196570	PFN3
11085	ENSG00000131187	F12
11086	ENSG00000198055	GRK6
11087	ENSG00000246334	PRR7-AS1
11088	ENSG00000131188	PRR7
11089	ENSG00000113758	DBN1
11090	ENSG00000196923	PDLIM7
11091	ENSG00000248996	AC145098.1
11092	ENSG00000146094	DOK3
11093	ENSG00000183258	DDX41
11094	ENSG00000146067	FAM193B
11095	ENSG00000272459	AC139795.3
11096	ENSG00000184840	TMED9
11097	ENSG00000027847	B4GALT7
11098	ENSG00000247679	AC139795.2
11099	ENSG00000249849	AC138819.1
11100	ENSG00000170074	FAM153A
11101	ENSG00000249109	AC140125.2
11102	ENSG00000248943	AC140125.1
11103	ENSG00000249186	AC140125.3
11104	ENSG00000250101	AC106795.3
11105	ENSG00000249684	AC106795.2
11106	ENSG00000280207	AC106795.5
11107	ENSG00000175325	PROP1
11108	ENSG00000204677	FAM153CP
11109	ENSG00000145911	N4BP3
11110	ENSG00000145916	RMND5B
11111	ENSG00000145912	NHP2
11112	ENSG00000244234	GMCL2
11113	ENSG00000197451	HNRNPAB
11114	ENSG00000175309	PHYKPL
11115	ENSG00000050767	COL23A1
11116	ENSG00000253698	AC136601.1
11117	ENSG00000245688	AC008659.1
11118	ENSG00000113240	CLK4
11119	ENSG00000286713	AC113348.3
11120	ENSG00000285891	AC113348.1
11121	ENSG00000169131	ZNF354A
11122	ENSG00000178338	ZNF354B
11123	ENSG00000198939	ZFP2
11124	ENSG00000272431	AC104117.5
11125	ENSG00000178187	ZNF454
11126	ENSG00000254035	AC104117.3
11127	ENSG00000113262	GRM6
11128	ENSG00000234284	ZNF879
11129	ENSG00000177932	ZNF354C
11130	ENSG00000087116	ADAMTS2
11131	ENSG00000253979	AC109479.3
11132	ENSG00000253163	AC109479.1
11133	ENSG00000250674	AC136628.1
11134	ENSG00000253652	AC136628.4
11135	ENSG00000176783	RUFY1
11136	ENSG00000244945	AC136604.2
11137	ENSG00000169045	HNRNPH1
11138	ENSG00000204661	C5orf60
11139	ENSG00000250999	AC136604.3
11140	ENSG00000204659	CBY3
11141	ENSG00000127022	CANX
11142	ENSG00000161021	MAML1
11143	ENSG00000213316	LTC4S
11144	ENSG00000161013	MGAT4B
11145	ENSG00000161011	SQSTM1
11146	ENSG00000161010	MRNIP
11147	ENSG00000245317	AC008393.1
11148	ENSG00000197226	TBC1D9B
11149	ENSG00000113269	RNF130
11150	ENSG00000249412	AC010285.1
11151	ENSG00000285865	AC010285.3
11152	ENSG00000146090	RASGEF1C
11153	ENSG00000050748	MAPK9
11154	ENSG00000248367	AC008610.1
11155	ENSG00000131459	GFPT2
11156	ENSG00000250509	AC034213.1
11157	ENSG00000113300	CNOT6
11158	ENSG00000161055	SCGB3A1
11159	ENSG00000037280	FLT4
11160	ENSG00000248717	LINC02222
11161	ENSG00000174339	OR2Y1
11162	ENSG00000131446	MGAT1
11163	ENSG00000278970	HEIH
11164	ENSG00000245060	LINC00847
11165	ENSG00000286128	AC022413.2
11166	ENSG00000196670	ZFP62
11167	ENSG00000113303	BTNL8
11168	ENSG00000168903	BTNL3
11169	ENSG00000165810	BTNL9
11170	ENSG00000185372	OR2V1
11171	ENSG00000182613	OR2V2
11172	ENSG00000248473	LINC01962
11173	ENSG00000250222	AC008443.5
11174	ENSG00000146054	TRIM7
11175	ENSG00000250900	AC008443.6
11176	ENSG00000248514	AC008443.4
11177	ENSG00000286644	AC008443.9
11178	ENSG00000146063	TRIM41
11179	ENSG00000247049	AC008443.2
11180	ENSG00000204628	RACK1
11181	ENSG00000233937	AC008443.1
11182	ENSG00000183718	TRIM52
11183	ENSG00000248275	TRIM52-AS1
11184	ENSG00000286310	AC008443.8
11185	ENSG00000248103	AC008443.3
11186	ENSG00000238035	AC138035.1
11187	ENSG00000250765	AC138035.2
11188	ENSG00000230178	OR4F3
11189	ENSG00000263667	AL035696.3
11190	ENSG00000285578	AL035696.4
11191	ENSG00000205653	AL035696.1
11192	ENSG00000287265	AL365272.1
11193	ENSG00000112679	DUSP22
11194	ENSG00000137265	IRF4
11195	ENSG00000286364	AL512308.1
11196	ENSG00000112685	EXOC2
11197	ENSG00000230433	AL031770.1
11198	ENSG00000188996	HUS1B
11199	ENSG00000271727	AL357054.2
11200	ENSG00000272463	AL357054.4
11201	ENSG00000287293	AL357054.5
11202	ENSG00000271911	AL357054.3
11203	ENSG00000272485	AL392183.1
11204	ENSG00000276687	AL356130.1
11205	ENSG00000286785	LINC01622
11206	ENSG00000270937	AL033381.2
11207	ENSG00000176515	AL033381.1
11208	ENSG00000286324	AL033381.3
11209	ENSG00000164379	FOXQ1
11210	ENSG00000281809	LINC01394
11211	ENSG00000261730	AL034346.1
11212	ENSG00000137273	FOXF2
11213	ENSG00000272279	AL512329.2
11214	ENSG00000280916	FOXCUT
11215	ENSG00000054598	FOXC1
11216	ENSG00000112699	GMDS
11217	ENSG00000285603	AL035693.1
11218	ENSG00000250903	GMDS-DT
11219	ENSG00000286512	AL031768.2
11220	ENSG00000272465	AL031768.1
11221	ENSG00000287903	AL359852.2
11222	ENSG00000228718	LINC02521
11223	ENSG00000164385	LINC01600
11224	ENSG00000145949	MYLK4
11225	ENSG00000124535	WRNIP1
11226	ENSG00000021355	SERPINB1
11227	ENSG00000230438	SERPINB9P1
11228	ENSG00000170542	SERPINB9
11229	ENSG00000228365	AL133351.2
11230	ENSG00000124570	SERPINB6
11231	ENSG00000244041	LINC01011
11232	ENSG00000124588	NQO2
11233	ENSG00000224846	AL133351.1
11234	ENSG00000229282	AL031963.2
11235	ENSG00000137275	RIPK1
11236	ENSG00000272277	AL031963.3
11237	ENSG00000137274	BPHL
11238	ENSG00000228170	AL031963.1
11239	ENSG00000137267	TUBB2A
11240	ENSG00000230269	LINC02525
11241	ENSG00000137285	TUBB2B
11242	ENSG00000180822	PSMG4
11243	ENSG00000137266	SLC22A23
11244	ENSG00000272320	AL445309.1
11245	ENSG00000228793	AL033523.1
11246	ENSG00000168994	PXDC1
11247	ENSG00000270504	AL391422.4
11248	ENSG00000238158	AL391422.3
11249	ENSG00000233068	AL391422.2
11250	ENSG00000145945	FAM50B
11251	ENSG00000260604	AL590004.3
11252	ENSG00000272248	AL138831.2
11253	ENSG00000230648	AL138831.1
11254	ENSG00000112739	PRPF4B
11255	ENSG00000145975	FAM217A
11256	ENSG00000185689	C6orf201
11257	ENSG00000198721	ECI2
11258	ENSG00000254821	AL136309.4
11259	ENSG00000234817	AL136309.2
11260	ENSG00000237716	AL136309.3
11261	ENSG00000285424	AL162718.1
11262	ENSG00000231811	AL159166.1
11263	ENSG00000287761	AL162718.3
11264	ENSG00000285694	AL162718.2
11265	ENSG00000260239	LINC02533
11266	ENSG00000260673	AL034376.2
11267	ENSG00000205444	AL034376.1
11268	ENSG00000153046	CDYL
11269	ENSG00000284823	AL356747.1
11270	ENSG00000236336	AL022725.1
11271	ENSG00000124787	RPP40
11272	ENSG00000272142	AL359643.3
11273	ENSG00000271978	AL359643.2
11274	ENSG00000219607	PPP1R3G
11275	ENSG00000214113	LYRM4
11276	ENSG00000145982	FARS2
11277	ENSG00000269985	AL021328.1
11278	ENSG00000270174	AL022097.1
11279	ENSG00000233064	AL136307.1
11280	ENSG00000124785	NRN1
11281	ENSG00000124491	F13A1
11282	ENSG00000216863	LY86-AS1
11283	ENSG00000285717	AL162719.1
11284	ENSG00000112799	LY86
11285	ENSG00000261211	AL031123.2
11286	ENSG00000226281	AL031123.1
11287	ENSG00000287497	AL031123.4
11288	ENSG00000288046	AL031123.5
11289	ENSG00000224532	AL136361.1
11290	ENSG00000223342	AL158817.1
11291	ENSG00000203498	AL139390.1
11292	ENSG00000124782	RREB1
11293	ENSG00000225092	AL355336.1
11294	ENSG00000285771	AL139095.5
11295	ENSG00000124783	SSR1
11296	ENSG00000238221	AL139095.4
11297	ENSG00000164304	CAGE1
11298	ENSG00000124784	RIOK1
11299	ENSG00000261189	AL031058.1
11300	ENSG00000096696	DSP
11301	ENSG00000168566	SNRNP48
11302	ENSG00000153162	BMP6
11303	ENSG00000239264	TXNDC5
11304	ENSG00000188428	BLOC1S5
11305	ENSG00000124802	EEF1E1
11306	ENSG00000232234	AL355499.1
11307	ENSG00000234763	AL359378.1
11308	ENSG00000124786	SLC35B3
11309	ENSG00000285219	HULC
11310	ENSG00000225775	AL137220.1
11311	ENSG00000137203	TFAP2A
11312	ENSG00000285278	TFAP2A-AS2
11313	ENSG00000229950	TFAP2A-AS1
11314	ENSG00000228478	AL138885.2
11315	ENSG00000285759	AL138885.3
11316	ENSG00000183674	LINC00518
11317	ENSG00000229401	MIR5689HG
11318	ENSG00000231056	LINC02522
11319	ENSG00000111846	GCNT2
11320	ENSG00000237685	AL139039.3
11321	ENSG00000285763	AL358777.1
11322	ENSG00000137434	C6orf52
11323	ENSG00000111845	PAK1IP1
11324	ENSG00000111843	TMEM14C
11325	ENSG00000272097	AL024498.1
11326	ENSG00000137210	TMEM14B
11327	ENSG00000111837	MAK
11328	ENSG00000124827	GCM2
11329	ENSG00000235051	AL357497.1
11330	ENSG00000153157	SYCP2L
11331	ENSG00000197977	ELOVL2
11332	ENSG00000230314	ELOVL2-AS1
11333	ENSG00000224531	SMIM13
11334	ENSG00000244476	ERVFRD-1
11335	ENSG00000247925	AL139807.1
11336	ENSG00000111859	NEDD9
11337	ENSG00000287920	AL022098.1
11338	ENSG00000242753	AL445430.2
11339	ENSG00000233656	AL445430.1
11340	ENSG00000205269	TMEM170B
11341	ENSG00000271897	AL357518.1
11342	ENSG00000111863	ADTRP
11343	ENSG00000287593	AL022724.3
11344	ENSG00000234427	AL022724.2
11345	ENSG00000225102	AL157373.1
11346	ENSG00000229896	AL157373.2
11347	ENSG00000095951	HIVEP1
11348	ENSG00000078401	EDN1
11349	ENSG00000234015	LINC02530
11350	ENSG00000112137	PHACTR1
11351	ENSG00000215022	AL008729.1
11352	ENSG00000145979	TBC1D7
11353	ENSG00000272379	AL008729.2
11354	ENSG00000145990	GFOD1
11355	ENSG00000237786	GFOD1-AS1
11356	ENSG00000124523	SIRT5
11357	ENSG00000261071	AL441883.1
11358	ENSG00000225921	NOL7
11359	ENSG00000010017	RANBP9
11360	ENSG00000286316	Z93020.1
11361	ENSG00000050393	MCUR1
11362	ENSG00000272209	AL023583.1
11363	ENSG00000180537	RNF182
11364	ENSG00000233981	AL022396.1
11365	ENSG00000112149	CD83
11366	ENSG00000285639	AL133259.1
11367	ENSG00000286281	AL353152.2
11368	ENSG00000230631	AL353152.1
11369	ENSG00000226673	LINC01108
11370	ENSG00000237346	AL080313.2
11371	ENSG00000234540	AL080313.1
11372	ENSG00000286277	AL009177.1
11373	ENSG00000229646	AL109914.1
11374	ENSG00000234261	AL138720.1
11375	ENSG00000271888	AL136162.1
11376	ENSG00000008083	JARID2
11377	ENSG00000235488	JARID2-AS1
11378	ENSG00000047579	DTNBP1
11379	ENSG00000287626	AL021978.1
11380	ENSG00000232947	LINC02543
11381	ENSG00000007944	MYLIP
11382	ENSG00000137198	GMPR
11383	ENSG00000282024	AL009031.1
11384	ENSG00000124788	ATXN1
11385	ENSG00000229931	AL137003.1
11386	ENSG00000272341	AL137003.2
11387	ENSG00000287347	AL133405.2
11388	ENSG00000286631	AL133405.1
11389	ENSG00000287359	AL138740.1
11390	ENSG00000230873	STMND1
11391	ENSG00000287559	AL136305.1
11392	ENSG00000112183	RBM24
11393	ENSG00000112186	CAP2
11394	ENSG00000286885	AL138824.1
11395	ENSG00000137414	FAM8A1
11396	ENSG00000124789	NUP153
11397	ENSG00000272269	AL138724.1
11398	ENSG00000137177	KIF13A
11399	ENSG00000187566	NHLRC1
11400	ENSG00000137364	TPMT
11401	ENSG00000165097	KDM1B
11402	ENSG00000124795	DEK
11403	ENSG00000137393	RNF144B
11404	ENSG00000283408	MIR548A1HG
11405	ENSG00000231662	AL357052.1
11406	ENSG00000228412	AL022068.1
11407	ENSG00000172201	ID4
11408	ENSG00000287138	AL022726.1
11409	ENSG00000172197	MBOAT1
11410	ENSG00000227803	AL158198.1
11411	ENSG00000287614	AL158198.2
11412	ENSG00000286590	AL132775.1
11413	ENSG00000287483	AL132775.2
11414	ENSG00000112242	E2F3
11415	ENSG00000224707	E2F3-IT1
11416	ENSG00000145996	CDKAL1
11417	ENSG00000233848	AL513188.1
11418	ENSG00000287404	AL451080.1
11419	ENSG00000227089	AL031767.1
11420	ENSG00000286368	AL031767.2
11421	ENSG00000280989	LINC00581
11422	ENSG00000231754	AL512380.1
11423	ENSG00000283480	AL512380.2
11424	ENSG00000124766	SOX4
11425	ENSG00000272168	CASC15
11426	ENSG00000260455	NBAT1
11427	ENSG00000172179	PRL
11428	ENSG00000112273	HDGFL1
11429	ENSG00000228772	AL033539.1
11430	ENSG00000286954	AL033539.2
11431	ENSG00000233358	AL035401.1
11432	ENSG00000235743	AL139231.1
11433	ENSG00000152954	NRSN1
11434	ENSG00000146038	DCDC2
11435	ENSG00000146049	KAAG1
11436	ENSG00000124532	MRS2
11437	ENSG00000112293	GPLD1
11438	ENSG00000112294	ALDH5A1
11439	ENSG00000137261	KIAA0319
11440	ENSG00000111802	TDP2
11441	ENSG00000112304	ACOT13
11442	ENSG00000272345	AL031775.1
11443	ENSG00000112308	C6orf62
11444	ENSG00000272402	AL031775.2
11445	ENSG00000224164	LINC02828
11446	ENSG00000112312	GMNN
11447	ENSG00000260286	ARMH2
11448	ENSG00000111913	RIPOR2
11449	ENSG00000286633	AL160400.1
11450	ENSG00000229313	AL133268.3
11451	ENSG00000223623	AL133268.2
11452	ENSG00000285801	AL133268.4
11453	ENSG00000079691	CARMIL1
11454	ENSG00000286933	AL022170.1
11455	ENSG00000079689	SCGN
11456	ENSG00000164508	HIST1H2AA
11457	ENSG00000146047	HIST1H2BA
11458	ENSG00000146039	SLC17A4
11459	ENSG00000124568	SLC17A1
11460	ENSG00000124564	SLC17A3
11461	ENSG00000112337	SLC17A2
11462	ENSG00000112343	TRIM38
11463	ENSG00000272558	U91328.2
11464	ENSG00000272462	U91328.1
11465	ENSG00000272810	U91328.3
11466	ENSG00000124610	HIST1H1A
11467	ENSG00000275714	HIST1H3A
11468	ENSG00000278637	HIST1H4A
11469	ENSG00000278705	HIST1H4B
11470	ENSG00000286522	HIST1H3B
11471	ENSG00000278463	HIST1H2AB
11472	ENSG00000276410	HIST1H2BB
11473	ENSG00000287080	HIST1H3C
11474	ENSG00000187837	HIST1H1C
11475	ENSG00000010704	HFE
11476	ENSG00000197061	HIST1H4C
11477	ENSG00000187475	HIST1H1T
11478	ENSG00000180596	HIST1H2BC
11479	ENSG00000180573	HIST1H2AC
11480	ENSG00000168298	HIST1H1E
11481	ENSG00000158373	HIST1H2BD
11482	ENSG00000283064	AL353759.1
11483	ENSG00000274290	HIST1H2BE
11484	ENSG00000277157	HIST1H4D
11485	ENSG00000197409	HIST1H3D
11486	ENSG00000196866	HIST1H2AD
11487	ENSG00000277224	HIST1H2BF
11488	ENSG00000276966	HIST1H4E
11489	ENSG00000273802	HIST1H2BG
11490	ENSG00000277075	HIST1H2AE
11491	ENSG00000274750	HIST1H3E
11492	ENSG00000124575	HIST1H1D
11493	ENSG00000274618	HIST1H4F
11494	ENSG00000275663	HIST1H4G
11495	ENSG00000277775	HIST1H3F
11496	ENSG00000275713	HIST1H2BH
11497	ENSG00000273983	HIST1H3G
11498	ENSG00000278588	HIST1H2BI
11499	ENSG00000158406	HIST1H4H
11500	ENSG00000287050	AL021917.1
11501	ENSG00000186470	BTN3A2
11502	ENSG00000124508	BTN2A2
11503	ENSG00000026950	BTN3A1
11504	ENSG00000111801	BTN3A3
11505	ENSG00000112763	BTN2A1
11506	ENSG00000124557	BTN1A1
11507	ENSG00000228223	HCG11
11508	ENSG00000182952	HMGN4
11509	ENSG00000284607	AL121936.1
11510	ENSG00000146109	ABT1
11511	ENSG00000275846	AL513548.3
11512	ENSG00000181315	ZNF322
11513	ENSG00000285571	AL513548.4
11514	ENSG00000261584	AL513548.1
11515	ENSG00000224843	LINC00240
11516	ENSG00000272312	AL133255.1
11517	ENSG00000287966	AL590062.1
11518	ENSG00000272468	AL021807.1
11519	ENSG00000124635	HIST1H2BJ
11520	ENSG00000196787	HIST1H2AG
11521	ENSG00000276180	HIST1H4I
11522	ENSG00000197903	HIST1H2BK
11523	ENSG00000274997	HIST1H2AH
11524	ENSG00000112812	PRSS16
11525	ENSG00000158553	POM121L2
11526	ENSG00000124613	ZNF391
11527	ENSG00000271755	AL031118.1
11528	ENSG00000096654	ZNF184
11529	ENSG00000285849	AL021918.4
11530	ENSG00000286652	AL021918.5
11531	ENSG00000285703	AL021918.3
11532	ENSG00000287674	AL009179.3
11533	ENSG00000281706	AL009179.1
11534	ENSG00000287252	AL009179.2
11535	ENSG00000185130	HIST1H2BL
11536	ENSG00000196747	HIST1H2AI
11537	ENSG00000278828	HIST1H3H
11538	ENSG00000276368	HIST1H2AJ
11539	ENSG00000273703	HIST1H2BM
11540	ENSG00000197238	HIST1H4J
11541	ENSG00000273542	HIST1H4K
11542	ENSG00000233822	HIST1H2BN
11543	ENSG00000275221	HIST1H2AK
11544	ENSG00000276903	HIST1H2AL
11545	ENSG00000184357	HIST1H1B
11546	ENSG00000275379	HIST1H3I
11547	ENSG00000275126	HIST1H4L
11548	ENSG00000197153	HIST1H3J
11549	ENSG00000278677	HIST1H2AM
11550	ENSG00000274641	HIST1H2BO
11551	ENSG00000168131	OR2B2
11552	ENSG00000124657	OR2B6
11553	ENSG00000269293	ZSCAN16-AS1
11554	ENSG00000272009	AL121944.1
11555	ENSG00000197279	ZNF165
11556	ENSG00000196812	ZSCAN16
11557	ENSG00000261839	AL358933.1
11558	ENSG00000198315	ZKSCAN8
11559	ENSG00000137185	ZSCAN9
11560	ENSG00000187626	ZKSCAN4
11561	ENSG00000189134	NKAPL
11562	ENSG00000197062	ZSCAN26
11563	ENSG00000137338	PGBD1
11564	ENSG00000235109	ZSCAN31
11565	ENSG00000189298	ZKSCAN3
11566	ENSG00000158691	ZSCAN12
11567	ENSG00000187987	ZSCAN23
11568	ENSG00000287804	Z98745.2
11569	ENSG00000286819	Z98745.1
11570	ENSG00000198704	GPX6
11571	ENSG00000224586	GPX5
11572	ENSG00000232040	ZBED9
11573	ENSG00000246350	AL049543.1
11574	ENSG00000287279	AL121932.2
11575	ENSG00000235570	LINC00533
11576	ENSG00000225173	AL662890.1
11577	ENSG00000225595	LINC01623
11578	ENSG00000224157	HCG14
11579	ENSG00000204713	TRIM27
11580	ENSG00000204709	LINC01556
11581	ENSG00000227214	HCG15
11582	ENSG00000244349	AL662791.1
11583	ENSG00000197935	ZNF311
11584	ENSG00000277661	AL662791.2
11585	ENSG00000204704	OR2W1
11586	ENSG00000204703	OR2B3
11587	ENSG00000204702	OR2J1
11588	ENSG00000204701	OR2J3
11589	ENSG00000227206	AL645937.2
11590	ENSG00000284656	AL645937.4
11591	ENSG00000204700	OR2J2
11592	ENSG00000204695	OR14J1
11593	ENSG00000243729	OR5V1
11594	ENSG00000112462	OR12D3
11595	ENSG00000280236	OR12D2
11596	ENSG00000204694	OR11A1
11597	ENSG00000206474	OR10C1
11598	ENSG00000204688	OR2H1
11599	ENSG00000204687	MAS1L
11600	ENSG00000229274	LINC02829
11601	ENSG00000224582	LINC01015
11602	ENSG00000237988	OR2I1P
11603	ENSG00000213886	UBD
11604	ENSG00000204681	GABBR1
11605	ENSG00000204657	OR2H2
11606	ENSG00000204655	MOG
11607	ENSG00000204644	ZFP57
11608	ENSG00000204642	HLA-F
11609	ENSG00000214922	HLA-F-AS1
11610	ENSG00000272236	AL645939.4
11611	ENSG00000285761	AL645939.5
